linkID,taxiID,startTravelTime,travelTime
14,MMC8000GPSANDASYN051113-38358-00000000,2013-01-09 11:23:43,63.0
14,MMC8000GPSANDASYN051113-38001-00000000,2013-01-09 11:58:41,60.0
14,MMC8000GPSANDASYN051113-18681-00000000,2013-01-09 07:17:08,81.0
14,MMC8000GPSANDASYN051113-19328-00000000,2013-01-09 07:16:18,77.0
14,MMC8000GPSANDASYN051113-19328-00000000,2013-01-09 09:29:27,59.0
14,MMC8000GPSANDASYN051113-18187-00000000,2013-01-09 09:05:15,76.0
14,MMC8000GPSANDASYN051113-38184-00000000,2013-01-09 08:53:06,111.0
14,MMC8000GPSANDASYN051113-20784-00000000,2013-01-09 10:41:02,56.0
14,MMC8000GPSANDASYN051113-37780-00000000,2013-01-09 10:40:34,83.0
14,MMC8000GPSANDASYN051113-38356-00000000,2013-01-09 08:36:01,96.0
14,MMC8000GPSANDASYN051113-38347-00000000,2013-01-09 10:27:11,55.0
14,MMC8000GPSANDASYN051113-38205-00000000,2013-01-09 08:38:16,9.0
14,MMC8000GPSANDASYN051113-38038-00000000,2013-01-09 10:18:16,71.0
14,MMC8000GPSANDASYN051113-38145-00000000,2013-01-09 06:17:05,46.0
14,MMC8000GPSANDASYN051113-37675-00000000,2013-01-09 10:58:28,114.0
14,MMC8000GPSANDASYN051113-37880-00000000,2013-01-09 10:48:18,56.0
14,MMC8000GPSANDASYN051113-21054-00000000,2013-01-09 08:28:45,59.0
14,MMC8000GPSANDASYN051113-37893-00000000,2013-01-09 15:17:24,86.0
14,MMC8000GPSANDASYN051113-37661-00000000,2013-01-09 12:32:07,91.0
14,MMC8000GPSANDASYN051113-38206-00000000,2013-01-09 16:27:39,78.0
14,MMC8000GPSANDASYN051113-38278-00000000,2013-01-09 12:49:44,14.0
14,MMC8000GPSANDASYN051113-38038-00000000,2013-01-09 13:28:55,146.0
14,MMC8000GPSANDASYN051113-19432-00000000,2013-01-09 15:58:42,68.0
14,MMC8000GPSANDASYN051113-37831-00000000,2013-01-09 14:22:25,76.0
14,MMC8000GPSANDASYN051113-38006-00000000,2013-01-09 13:03:33,65.0
14,MMC8000GPSANDASYN051113-20316-00000000,2013-01-09 20:28:31,59.0
14,MMC8000GPSANDASYN051113-37796-00000000,2013-01-09 23:13:50,113.0
14,MMC8000GPSANDASYN051113-37775-00000000,2013-01-09 23:49:27,45.0
14,MMC8000GPSANDASYN051113-38228-00000000,2013-01-09 20:45:45,69.0
14,MMC8000GPSANDASYN051113-37916-00000000,2013-01-09 18:57:05,49.0
14,MMC8000GPSANDASYN051113-37948-00000000,2013-01-09 21:21:17,64.0
14,MMC8000GPSANDASYN051113-39669-00000000,2013-01-09 20:25:55,78.0
14,MMC8000GPSANDASYN051113-20501-00000000,2013-01-09 23:32:23,51.0
14,MMC8000GPSANDASYN051113-37673-00000000,2013-01-09 23:34:08,36.0
14,MMC8000GPSANDASYN051113-20029-00000000,2013-01-09 23:40:37,68.0
14,MMC8000GPSANDASYN051113-37745-00000000,2013-01-09 22:54:50,74.0
14,MMC8000GPSANDASYN051113-37946-00000000,2013-01-09 18:54:44,89.0
14,MMC8000GPSANDASYN051113-38027-00000000,2013-01-11 01:56:30,59.0
14,MMC8000GPSANDASYN051113-18338-00000000,2013-01-11 00:28:55,79.0
14,MMC8000GPSANDASYN051113-38099-00000000,2013-01-11 05:39:45,71.0
14,MMC8000GPSANDASYN051113-18683-00000000,2013-01-11 04:56:14,47.0
14,MMC8000GPSANDASYN051113-37741-00000000,2013-01-11 00:33:30,71.0
14,MMC8000GPSANDASYN051113-38018-00000000,2013-01-11 09:07:24,67.0
14,MMC8000GPSANDASYN051113-37952-00000000,2013-01-11 09:15:11,84.0
14,MMC8000GPSANDASYN051113-37804-00000000,2013-01-11 08:47:07,59.0
14,MMC8000GPSANDASYN051113-37738-00000000,2013-01-11 11:13:16,112.0
14,MMC8000GPSANDASYN051113-37660-00000000,2013-01-11 09:39:59,76.0
14,MMC8000GPSANDASYN051113-37845-00000000,2013-01-11 07:50:46,115.0
14,MMC8000GPSANDASYN051113-39625-00000000,2013-01-11 11:52:21,83.0
14,MMC8000GPSANDASYN051113-38000-00000000,2013-01-11 08:48:03,78.0
14,MMC8000GPSANDASYN051113-20857-00000000,2013-01-11 07:14:33,78.0
14,MMC8000GPSANDASYN051113-38333-00000000,2013-01-11 08:17:59,55.0
14,MMC8000GPSANDASYN051113-18990-00000000,2013-01-11 11:14:59,65.0
14,MMC8000GPSANDASYN051113-17433-00000000,2013-01-11 10:38:02,83.0
14,MMC8000GPSANDASYN051113-38281-00000000,2013-01-11 09:15:52,118.0
14,MMC8000GPSANDASYN051113-37809-00000000,2013-01-11 11:04:57,59.0
14,MMC8000GPSANDASYN051113-37619-00000000,2013-01-11 10:21:50,80.0
14,MMC8000GPSANDASYN051113-38090-00000000,2013-01-11 09:48:03,51.0
14,MMC8000GPSANDASYN051113-38052-00000000,2013-01-11 10:35:38,92.0
14,MMC8000GPSANDASYN051113-20165-00000000,2013-01-11 09:14:52,80.0
14,MMC8000GPSANDASYN051113-37583-00000000,2013-01-11 07:15:49,90.0
14,MMC8000GPSANDASYN051113-20316-00000000,2013-01-11 16:45:51,75.0
14,MMC8000GPSANDASYN051113-39662-00000000,2013-01-11 13:38:51,62.0
14,MMC8000GPSANDASYN051113-38307-00000000,2013-01-11 12:57:58,46.0
14,MMC8000GPSANDASYN051113-37893-00000000,2013-01-11 14:37:02,94.0
14,MMC8000GPSANDASYN051113-18141-00000000,2013-01-11 17:00:05,87.0
14,MMC8000GPSANDASYN051113-38078-00000000,2013-01-11 12:35:33,79.0
14,MMC8000GPSANDASYN051113-38341-00000000,2013-01-11 12:59:56,59.0
14,MMC8000GPSANDASYN051113-18629-00000000,2013-01-11 12:08:34,70.0
14,MMC8000GPSANDASYN051113-37812-00000000,2013-01-11 15:53:43,67.0
14,MMC8000GPSANDASYN051113-37417-00000000,2013-01-11 14:27:33,88.0
14,MMC8000GPSANDASYN051113-38223-00000000,2013-01-11 16:14:29,66.0
14,MMC8000GPSANDASYN051113-37984-00000000,2013-01-11 16:22:08,69.0
14,MMC8000GPSANDASYN051113-38131-00000000,2013-01-11 19:39:09,43.0
14,MMC8000GPSANDASYN051113-37720-00000000,2013-01-11 18:39:57,98.0
14,MMC8000GPSANDASYN051113-19977-00000000,2013-01-11 18:53:47,81.0
14,MMC8000GPSANDASYN051113-37928-00000000,2013-01-11 18:45:58,128.0
14,MMC8000GPSANDASYN051113-38206-00000000,2013-01-11 23:58:37,52.0
14,MMC8000GPSANDASYN051113-38348-00000000,2013-01-11 23:35:03,50.0
14,MMC8000GPSANDASYN051113-38217-00000000,2013-01-11 21:23:44,80.0
14,MMC8000GPSANDASYN051113-16853-00000000,2013-01-11 21:15:20,75.0
14,MMC8000GPSANDASYN051113-38309-00000000,2013-01-11 18:46:47,74.0
14,MMC8000GPSANDASYN051113-38229-00000000,2013-01-11 19:33:42,72.0
14,MMC8000GPSANDASYN051113-16599-00000000,2013-01-11 21:56:24,59.0
14,MMC8000GPSANDASYN051113-18901-00000000,2013-01-12 00:09:25,66.0
14,MMC8000GPSANDASYN051113-37689-00000000,2013-01-12 01:03:12,40.0
14,MMC8000GPSANDASYN051113-37827-00000000,2013-01-12 00:25:47,60.0
14,MMC8000GPSANDASYN051113-20770-00000000,2013-01-12 01:24:15,67.0
14,MMC8000GPSANDASYN051113-37904-00000000,2013-01-12 05:33:52,46.0
14,MMC8000GPSANDASYN051113-38250-00000000,2013-01-12 03:33:34,84.0
14,MMC8000GPSANDASYN051113-39625-00000000,2013-01-12 08:25:16,79.0
14,MMC8000GPSANDASYN051113-37642-00000000,2013-01-12 09:02:57,60.0
14,MMC8000GPSANDASYN051113-38178-00000000,2013-01-12 07:21:44,29.0
14,MMC8000GPSANDASYN051113-38082-00000000,2013-01-12 11:49:16,51.0
14,MMC8000GPSANDASYN051113-37809-00000000,2013-01-12 10:35:44,107.0
14,MMC8000GPSANDASYN051113-38326-00000000,2013-01-12 06:57:15,14.0
14,MMC8000GPSANDASYN051113-37794-00000000,2013-01-12 10:18:31,74.0
14,MMC8000GPSANDASYN051113-18425-00000000,2013-01-12 08:54:15,89.0
14,MMC8000GPSANDASYN051113-37971-00000000,2013-01-12 08:02:53,19.0
14,MMC8000GPSANDASYN051113-37971-00000000,2013-01-12 08:07:42,52.0
14,MMC8000GPSANDASYN051113-38077-00000000,2013-01-12 16:29:37,58.0
14,MMC8000GPSANDASYN051113-37588-00000000,2013-01-12 13:15:03,99.0
14,MMC8000GPSANDASYN051113-19043-00000000,2013-01-12 12:56:13,60.0
14,MMC8000GPSANDASYN051113-38312-00000000,2013-01-12 15:22:54,83.0
